userID,movieID,originalTitle,rating,review date
ur4592644,tt0120884,When the Light Comes,10,16 January 2005
ur3174947,tt0118688,Batman & Robin,3,16 January 2005
ur3780035,tt0387887,Bottom Live 2003: Weapons Grade Y-Fronts Tour,8,16 January 2005
ur4592628,tt0346491,Alexander,1,16 January 2005
ur3174947,tt0094721,Beetlejuice,8,16 January 2005
ur1162550,tt0114891,Wong Gok dik tin hung,9,16 January 2005
ur4371033,tt0391198,The Grudge,10,16 January 2005
ur4584306,tt0426568,Now You See It...,7,14 January 2005
ur3174947,tt0120601,Being John Malkovich,8,16 January 2005
ur2694867,tt0060196,"Il buono, il brutto, il cattivo",10,16 January 2005
ur2035667,tt0335245,The Ladykillers,10,16 January 2005
ur4513109,tt0129161,Infelici e contenti,10,16 January 2005
ur4318504,tt0113724,Ma ma fan fan,7,16 January 2005
ur1355507,tt0067023,Duel,7,16 January 2005
ur4545306,tt0325596,The I Inside,8,16 January 2005
ur3168872,tt0284867,The Arena,2,16 January 2005
ur1000879,tt0374900,Napoleon Dynamite,9,16 January 2005
ur2183556,tt0090062,Stand Alone,10,16 January 2005
ur3174947,tt0182789,Bicentennial Man,9,16 January 2005
ur4593110,tt0120370,Trekkies,7,16 January 2005
ur4593029,tt0385004,Shi mian mai fu,8,16 January 2005
ur4593101,tt0311289,Holes,10,16 January 2005
ur1935667,tt0401233,Appurushîdo,4,16 January 2005
ur4593048,tt0356618,The Forgotten,10,16 January 2005
ur4452141,tt0370263,AVP: Alien vs. Predator,8,16 January 2005
ur2983202,tt0372588,Team America: World Police,10,16 January 2005
ur3174947,tt0265086,Black Hawk Down,8,16 January 2005
ur3143319,tt0298814,The Core,1,16 January 2005
ur4593124,tt0158539,"C't'à ton tour, Laura Cadieux",7,16 January 2005
ur2694867,tt0071385,Daisy Miller,1,16 January 2005
ur2488512,tt0031725,Ninotchka,9,16 January 2005
ur0470968,tt0362270,The Life Aquatic with Steve Zissou,6,16 January 2005
ur4593070,tt0346491,Alexander,9,16 January 2005
ur4111911,tt0074486,Eraserhead,10,16 January 2005
ur3780035,tt0149937,Bottom Live,9,16 January 2005
ur0816433,tt0086203,Rock & Rule,10,16 January 2005
ur2904081,tt0072826,Cousin cousine,8,16 January 2005
ur3174947,tt0083658,Blade Runner,9,16 January 2005
ur4593205,tt0110442,Major League II,10,16 January 2005
ur2882544,tt0119365,Incognito,8,16 January 2005
ur0470968,tt0387564,Saw,3,16 January 2005
ur1518804,tt0283426,The Jungle Book 2,6,16 January 2005
ur4584029,tt0362270,The Life Aquatic with Steve Zissou,10,16 January 2005
ur3174947,tt0071230,Blazing Saddles,8,16 January 2005
ur3446219,tt0376541,Closer,10,16 January 2005
ur2074560,tt0052846,The Giant Gila Monster,2,16 January 2005
ur4587088,tt0120804,Resident Evil,1,16 January 2005
ur3174947,tt0329334,Bleed,1,16 January 2005
ur1529007,tt0357277,Elektra,3,16 January 2005
ur1609501,tt0096933,Black Rain,6,16 January 2005
